codigo_municipio,municipio,grupo,variable,mes,totales_total-m,totales-1_total-f,totales-2_total
31401,PUNATA,intoxicaciones,plaguicidas,2015-05-01,0,2,2
80201,RIBERALTA,intoxicaciones,plaguicidas,2015-05-01,1,0,1
70301,SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2015-05-01,0,1,1
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2015-05-01,3,0,3
10403,SOPACHUY,intoxicaciones,plaguicidas,2015-05-01,0,1,1
10101,SUCRE,intoxicaciones,plaguicidas,2015-05-01,0,2,2
10601,TARABUCO,intoxicaciones,plaguicidas,2015-05-01,1,0,1
60101,TARIJA,intoxicaciones,plaguicidas,2015-05-01,4,4,8
31003,VILLA TUNARI,intoxicaciones,plaguicidas,2015-05-01,6,4,10
60301,YACUIBA,intoxicaciones,plaguicidas,2015-05-01,1,0,1
20201,ACHACACHI,intoxicaciones,plaguicidas,2015-06-01,1,1,2
20202,ANCORAIMES,intoxicaciones,plaguicidas,2015-06-01,0,1,1
20905,CAIROMA,intoxicaciones,plaguicidas,2015-06-01,1,0,1
70706,CAMIRI,intoxicaciones,plaguicidas,2015-06-01,0,1,1
22001,CARANAVI,intoxicaciones,plaguicidas,2015-06-01,1,1,2
20501,CHUMA,intoxicaciones,plaguicidas,2015-06-01,2,0,2
30101,COCHABAMBA,intoxicaciones,plaguicidas,2015-06-01,4,10,14
31002,COLOMI,intoxicaciones,plaguicidas,2015-06-01,1,2,3
50601,COTAGAITA,intoxicaciones,plaguicidas,2015-06-01,0,2,2
20105,EL ALTO,intoxicaciones,plaguicidas,2015-06-01,2,4,6
70105,EL TORNO,intoxicaciones,plaguicidas,2015-06-01,1,0,1
20405,ESCOMA,intoxicaciones,plaguicidas,2015-06-01,0,1,1
21105,LA ASUNTA,intoxicaciones,plaguicidas,2015-06-01,0,1,1
70104,LA GUARDIA,intoxicaciones,plaguicidas,2015-06-01,0,2,2
70903,MAIRANA,intoxicaciones,plaguicidas,2015-06-01,5,0,5
20102,PALCA,intoxicaciones,plaguicidas,2015-06-01,0,1,1
31203,POCONA,intoxicaciones,plaguicidas,2015-06-01,0,1,1
31205,PUERTO VILLARROEL,intoxicaciones,plaguicidas,2015-06-01,6,6,12
31401,PUNATA,intoxicaciones,plaguicidas,2015-06-01,1,1,2
31001,SACABA,intoxicaciones,plaguicidas,2015-06-01,0,1,1
31403,SAN BENITO,intoxicaciones,plaguicidas,2015-06-01,0,1,1
71104,SAN JULIAN,intoxicaciones,plaguicidas,2015-06-01,0,1,1
60501,SAN LORENZO(TJA),intoxicaciones,plaguicidas,2015-06-01,2,0,2
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2015-06-01,2,1,3
31602,SHINAOTA,intoxicaciones,plaguicidas,2015-06-01,0,1,1
10101,SUCRE,intoxicaciones,plaguicidas,2015-06-01,1,3,4
60101,TARIJA,intoxicaciones,plaguicidas,2015-06-01,4,3,7
31601,TIRAQUE (CBBA),intoxicaciones,plaguicidas,2015-06-01,1,0,1
30502,VACAS,intoxicaciones,plaguicidas,2015-06-01,0,1,1
