codigo_municipio,municipio,grupo,variable,mes,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
20101,LA PAZ,sospecha diagnostica,tos ferina,2014-01-01,3.0,0.0,0.0,0.0,0.0,0.0,3.0
31301,MIZQUE,sospecha diagnostica,tos ferina,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40101,ORURO,sospecha diagnostica,tos ferina,2014-01-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2014-01-01,4.0,1.0,0.0,1.0,0.0,0.0,6.0
10101,SUCRE,sospecha diagnostica,tos ferina,2014-01-01,4.0,0.0,0.0,0.0,0.0,0.0,4.0
60303,VILLA MONTES,sospecha diagnostica,tos ferina,2014-01-01,0.0,0.0,1.0,1.0,0.0,0.0,2.0
31003,VILLA TUNARI,sospecha diagnostica,tos ferina,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31303,ALALAY,sospecha diagnostica,tos ferina,2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2014-02-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
20105,EL ALTO,sospecha diagnostica,tos ferina,2014-02-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2014-02-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
31301,MIZQUE,sospecha diagnostica,tos ferina,2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10501,MONTEAGUDO,sospecha diagnostica,tos ferina,2014-02-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
40101,ORURO,sospecha diagnostica,tos ferina,2014-02-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
50101,POTOSI,sospecha diagnostica,tos ferina,2014-02-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2014-02-01,2.0,0.0,1.0,0.0,0.0,0.0,3.0
10101,SUCRE,sospecha diagnostica,tos ferina,2014-02-01,4.0,0.0,0.0,0.0,1.0,0.0,5.0
31302,VILA VILA,sospecha diagnostica,tos ferina,2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
